N,K,category
1,2048,tiny
32,2048,tiny
32,2880,tiny
32,4096,tiny
48,5120,tiny
128,2816,tiny
256,1536,tiny
256,2048,tiny
256,2560,tiny
256,4096,tiny
512,1536,mlp_down
512,2048,mlp_down
512,2560,mlp_down
512,3840,mlp_down
768,768,attn_sq
768,3072,mlp_down
1024,1024,attn_sq
1024,2560,mlp_down
1024,2688,mlp_down
1024,2816,mlp_down
1024,4096,mlp_down
1024,5120,mlp_down
1024,8192,mlp_down
1152,768,attn_sq
1152,1152,attn_sq
1152,4304,mlp_down
1280,5120,mlp_down
1536,256,mlp_up
1536,768,mlp_up
1536,1024,attn_sq
1536,1536,attn_sq
1536,2048,attn_sq
1536,4096,mlp_down
1536,6144,mlp_down
1536,12288,mlp_down
2048,512,mlp_up
2048,1024,mlp_up
2048,1536,attn_sq
2048,2560,attn_sq
2048,2816,attn_sq
2048,3840,attn_sq
2048,4096,mlp_down
2112,2816,attn_sq
2560,256,mlp_up
2560,768,mlp_up
2560,1536,attn_sq
2560,2048,attn_sq
2560,4096,attn_sq
2560,10240,mlp_down
2688,1024,mlp_up
2816,1152,mlp_up
2816,2112,attn_sq
2816,4096,attn_sq
2816,8192,mlp_down
2880,4096,attn_sq
3072,768,mlp_up
3840,4096,attn_sq
3840,8192,mlp_down
3840,15360,mlp_down
4096,1024,mlp_up
4096,1536,mlp_up
4096,2048,mlp_up
4096,2560,attn_sq
4096,2816,attn_sq
4096,3840,attn_sq
4096,4096,attn_sq
4096,5376,attn_sq
4096,8192,mlp_down
4096,12288,mlp_down
4096,14336,mlp_down
4304,1152,mlp_up
5120,2880,attn_sq
5120,5120,attn_sq
5120,6144,attn_sq
5120,13824,mlp_down
5120,17408,mlp_down
5120,17920,mlp_down
5376,4096,attn_sq
6144,1536,mlp_up
6144,5120,attn_sq
8192,2048,mlp_up
8192,2816,mlp_up
8192,3840,mlp_up
8192,4096,mlp_up
8192,8192,attn_sq
8192,28672,mlp_down
8960,1536,mlp_up
10240,2560,mlp_up
10240,5120,mlp_up
10752,2560,mlp_up
12288,1536,mlp_up
12288,4096,mlp_up
12288,5120,mlp_up
13824,5120,mlp_up
14336,4096,mlp_up
15360,3840,mlp_up
17408,5120,mlp_up
17920,5120,mlp_up
18560,4096,mlp_up
28672,8192,mlp_up
32768,4096,mlp_up
100352,5120,vocab
128256,4096,vocab
128256,8192,vocab
131072,4096,vocab
152064,5120,vocab
201088,2880,vocab
248320,2048,vocab
248320,4096,vocab
248320,5120,vocab
262144,1536,vocab
262144,2560,vocab
262144,2816,vocab
262144,3840,vocab
262208,2560,vocab
