model,K,N,bits,block_size,has_zp,node_count
DeepSeek-R1-Distill-Llama-70B-dml-int4-awq-block-128-pruned_lm_head,8192,1024,4,128,0,160
DeepSeek-R1-Distill-Llama-70B-dml-int4-awq-block-128-pruned_lm_head,8192,8192,4,128,0,160
DeepSeek-R1-Distill-Llama-70B-dml-int4-awq-block-128-pruned_lm_head,8192,28672,4,128,0,160
DeepSeek-R1-Distill-Llama-70B-dml-int4-awq-block-128-pruned_lm_head,8192,128256,4,128,0,1
DeepSeek-R1-Distill-Llama-70B-dml-int4-awq-block-128-pruned_lm_head,28672,8192,4,128,0,80
gemma-4-12b-it-fp16-int4-bs32-kquant,3840,512,4,32,1,8
gemma-4-12b-it-fp16-int4-bs32-kquant,3840,2048,4,32,1,80
gemma-4-12b-it-fp16-int4-bs32-kquant,3840,4096,4,32,1,40
gemma-4-12b-it-fp16-int4-bs32-kquant,3840,8192,4,32,1,8
gemma-4-12b-it-fp16-int4-bs32-kquant,3840,15360,4,32,1,96
gemma-4-12b-it-fp16-int4-bs32-kquant,3840,262144,4,32,1,1
gemma-4-12b-it-fp16-int4-bs32-kquant,4096,3840,4,32,1,40
gemma-4-12b-it-fp16-int4-bs32-kquant,8192,3840,4,32,1,8
gemma-4-12b-it-fp16-int4-bs32-kquant,15360,3840,4,32,1,48
gemma-4-12B-it-fp16-int4-kquant,3840,512,4,32,1,8
gemma-4-12B-it-fp16-int4-kquant,3840,2048,4,32,1,80
gemma-4-12B-it-fp16-int4-kquant,3840,4096,4,32,1,40
gemma-4-12B-it-fp16-int4-kquant,3840,8192,4,32,1,8
gemma-4-12B-it-fp16-int4-kquant,3840,15360,4,32,1,96
gemma-4-12B-it-fp16-int4-kquant,3840,262144,4,32,1,1
gemma-4-12B-it-fp16-int4-kquant,4096,3840,4,32,1,40
gemma-4-12B-it-fp16-int4-kquant,8192,3840,4,32,1,8
gemma-4-12B-it-fp16-int4-kquant,15360,3840,4,32,1,48
gemma-4-E2B-it-fp16-int4-kquant,256,1536,4,32,1,35
gemma-4-E2B-it-fp16-int4-kquant,768,768,4,32,1,65
gemma-4-E2B-it-fp16-int4-kquant,768,1536,4,32,1,1
gemma-4-E2B-it-fp16-int4-kquant,768,3072,4,32,1,32
gemma-4-E2B-it-fp16-int4-kquant,1024,1024,4,32,1,73
gemma-4-E2B-it-fp16-int4-kquant,1024,1536,4,32,1,1
gemma-4-E2B-it-fp16-int4-kquant,1024,2048,4,32,1,12
gemma-4-E2B-it-fp16-int4-kquant,1024,4096,4,32,1,24
gemma-4-E2B-it-fp16-int4-kquant,1536,256,4,32,1,59
gemma-4-E2B-it-fp16-int4-kquant,1536,512,4,32,1,6
gemma-4-E2B-it-fp16-int4-kquant,1536,1536,4,32,1,1
gemma-4-E2B-it-fp16-int4-kquant,1536,2048,4,32,1,28
gemma-4-E2B-it-fp16-int4-kquant,1536,4096,4,32,1,7
gemma-4-E2B-it-fp16-int4-kquant,1536,6144,4,32,1,30
gemma-4-E2B-it-fp16-int4-kquant,1536,8960,4,32,1,1
gemma-4-E2B-it-fp16-int4-kquant,1536,12288,4,32,1,40
gemma-4-E2B-it-fp16-int4-kquant,1536,262144,4,32,1,1
gemma-4-E2B-it-fp16-int4-kquant,2048,1536,4,32,1,28
gemma-4-E2B-it-fp16-int4-kquant,3072,768,4,32,1,16
gemma-4-E2B-it-fp16-int4-kquant,4096,1024,4,32,1,24
gemma-4-E2B-it-fp16-int4-kquant,4096,1536,4,32,1,7
gemma-4-E2B-it-fp16-int4-kquant,6144,1536,4,32,1,15
gemma-4-E2B-it-fp16-int4-kquant,12288,1536,4,32,1,20
gemma-4-E4B-it-fp16-int4-kquant,256,2560,4,32,1,42
gemma-4-E4B-it-fp16-int4-kquant,768,768,4,32,1,65
gemma-4-E4B-it-fp16-int4-kquant,768,2560,4,32,1,1
gemma-4-E4B-it-fp16-int4-kquant,768,3072,4,32,1,32
gemma-4-E4B-it-fp16-int4-kquant,1024,1024,4,32,1,73
gemma-4-E4B-it-fp16-int4-kquant,1024,1536,4,32,1,1
gemma-4-E4B-it-fp16-int4-kquant,1024,2048,4,32,1,12
gemma-4-E4B-it-fp16-int4-kquant,1024,4096,4,32,1,24
gemma-4-E4B-it-fp16-int4-kquant,1536,2560,4,32,1,1
gemma-4-E4B-it-fp16-int4-kquant,2048,2560,4,32,1,35
gemma-4-E4B-it-fp16-int4-kquant,2560,256,4,32,1,42
gemma-4-E4B-it-fp16-int4-kquant,2560,512,4,32,1,40
gemma-4-E4B-it-fp16-int4-kquant,2560,1024,4,32,1,8
gemma-4-E4B-it-fp16-int4-kquant,2560,2048,4,32,1,35
gemma-4-E4B-it-fp16-int4-kquant,2560,4096,4,32,1,7
gemma-4-E4B-it-fp16-int4-kquant,2560,10240,4,32,1,84
gemma-4-E4B-it-fp16-int4-kquant,2560,10752,4,32,1,1
gemma-4-E4B-it-fp16-int4-kquant,2560,262144,4,32,1,1
gemma-4-E4B-it-fp16-int4-kquant,3072,768,4,32,1,16
gemma-4-E4B-it-fp16-int4-kquant,4096,1024,4,32,1,24
gemma-4-E4B-it-fp16-int4-kquant,4096,2560,4,32,1,7
gemma-4-E4B-it-fp16-int4-kquant,10240,2560,4,32,1,42
gemma3-4b-it-rtn-int4-128gs-fp16-onnx-gpu-pruned_lm_head,2048,2560,4,128,0,34
gemma3-4b-it-rtn-int4-128gs-fp16-onnx-gpu-pruned_lm_head,2560,1024,4,128,0,68
gemma3-4b-it-rtn-int4-128gs-fp16-onnx-gpu-pruned_lm_head,2560,2048,4,128,0,34
gemma3-4b-it-rtn-int4-128gs-fp16-onnx-gpu-pruned_lm_head,2560,10240,4,128,0,68
gemma3-4b-it-rtn-int4-128gs-fp16-onnx-gpu-pruned_lm_head,2560,262208,4,128,0,1
gemma3-4b-it-rtn-int4-128gs-fp16-onnx-gpu-pruned_lm_head,10240,2560,4,128,0,34
google-gemma-4-26B-A4B-it-FP16W4-qmoe,768,1152,4,32,1,1
google-gemma-4-26B-A4B-it-FP16W4-qmoe,1152,1152,4,32,1,108
google-gemma-4-26B-A4B-it-FP16W4-qmoe,1152,2816,4,32,1,1
google-gemma-4-26B-A4B-it-FP16W4-qmoe,1152,4304,4,32,1,54
google-gemma-4-26B-A4B-it-FP16W4-qmoe,2112,2816,4,32,1,30
google-gemma-4-26B-A4B-it-FP16W4-qmoe,2816,128,4,32,1,30
google-gemma-4-26B-A4B-it-FP16W4-qmoe,2816,1024,4,32,1,5
google-gemma-4-26B-A4B-it-FP16W4-qmoe,2816,2048,4,32,1,50
google-gemma-4-26B-A4B-it-FP16W4-qmoe,2816,2112,4,32,1,60
google-gemma-4-26B-A4B-it-FP16W4-qmoe,2816,4096,4,32,1,25
google-gemma-4-26B-A4B-it-FP16W4-qmoe,2816,8192,4,32,1,5
google-gemma-4-26B-A4B-it-FP16W4-qmoe,2816,262144,4,32,1,1
google-gemma-4-26B-A4B-it-FP16W4-qmoe,4096,2816,4,32,1,25
google-gemma-4-26B-A4B-it-FP16W4-qmoe,4304,1152,4,32,1,27
google-gemma-4-26B-A4B-it-FP16W4-qmoe,8192,2816,4,32,1,5
gpt-oss-120b-w-uint4-pergroup-asym-awq-fp16-ssln-fp32-onnx-prune-lm-head,2880,5120,4,32,1,36
gpt-oss-120b-w-uint4-pergroup-asym-awq-fp16-ssln-fp32-onnx-prune-lm-head,4096,2880,4,32,1,36
gpt-oss-20b-webgpu-int4-rtn-block-32-pruned_lm_head,2880,32,4,32,0,24
gpt-oss-20b-webgpu-int4-rtn-block-32-pruned_lm_head,2880,5120,4,32,0,24
gpt-oss-20b-webgpu-int4-rtn-block-32-pruned_lm_head,2880,201088,4,32,0,1
gpt-oss-20b-webgpu-int4-rtn-block-32-pruned_lm_head,4096,2880,4,32,0,24
Llama-3.1-8B-awq-g128-int4-asym-fp16-onnx-dml-pruned_lm_head,4096,1024,4,128,1,64
Llama-3.1-8B-awq-g128-int4-asym-fp16-onnx-dml-pruned_lm_head,4096,4096,4,128,1,64
Llama-3.1-8B-awq-g128-int4-asym-fp16-onnx-dml-pruned_lm_head,4096,14336,4,128,1,64
Llama-3.1-8B-awq-g128-int4-asym-fp16-onnx-dml-pruned_lm_head,4096,128256,4,128,1,1
